tstamp,cuisine,critical_flag,borough
2020-01-02,Specialty,Not Critical,Brooklyn
2020-01-07,Asian,Not Critical,Brooklyn
2020-01-16,Italian,Critical,Bronx
2020-01-21,Asian,Critical,Brooklyn
2020-01-30,Mediterranean,Not Critical,Bronx
2020-01-08,Mediterranean,Critical,Brooklyn
2020-01-30,Asian,Critical,Manhattan
2020-01-25,American,Critical,Brooklyn
2020-01-31,Deli/Buffett,Critical,Manhattan
2020-01-06,Bakery,Not Critical,Queens
2020-01-29,Asian,Critical,Queens
2020-01-22,Asian,Not Critical,Bronx
2020-01-24,Asian,Not Critical,Manhattan
2020-01-06,Italian,Not Critical,Brooklyn
2020-01-06,Italian,Not Critical,Brooklyn
2020-01-06,Pizza,Critical,Queens
2020-01-14,Frozen Desserts,Not Critical,Manhattan
2020-01-22,American,Not Critical,Brooklyn
2020-01-22,American,Not Critical,Brooklyn
2020-01-22,Specialty,Not Critical,Brooklyn
2020-01-31,American,Not Critical,Manhattan
2020-01-22,Asian,Critical,Brooklyn
2020-01-14,Mediterranean,Not Critical,Staten Island
2020-01-13,American,Not Critical,Bronx
2020-01-13,American,Not Critical,Bronx
2020-01-30,Soups & Sandwiches,Critical,Manhattan
2020-01-30,Latin American,Critical,Queens
2020-01-17,Mexican,Not Critical,Brooklyn
2020-01-17,Mexican,Not Critical,Brooklyn
2020-01-28,Pizza,Not Critical,Manhattan
2020-01-21,Asian,Critical,Manhattan
2020-01-14,Mexican,Critical,Bronx
2020-01-09,American,Critical,Manhattan
2020-01-22,Specialty,Critical,Manhattan
2020-01-02,Asian,Critical,Queens
2020-01-06,Latin American,Not Critical,Queens
2020-01-02,Latin/Caribbean,Critical,Queens
2020-01-24,Coffee/Tea,Not Critical,Manhattan
2020-01-06,Bakery Products/Desserts,Critical,Bronx
2020-01-24,American,Critical,Manhattan
2020-01-06,Asian,Not Critical,Brooklyn
2020-01-14,Latin/Caribbean,Not Critical,Queens
2020-01-17,Coffee/Tea,Not Critical,Manhattan
2020-01-09,Frozen Desserts,Critical,Manhattan
2020-01-29,Frozen Desserts,Not Critical,Manhattan
2020-01-08,American,Critical,Manhattan
2020-01-28,Soups & Sandwiches,Not Critical,Queens
2020-01-06,American,Not Critical,Brooklyn
2020-01-06,American,Not Critical,Brooklyn
2020-01-27,American,Critical,Bronx
2020-01-28,Mediterranean,Critical,Bronx
2020-01-24,Asian,Critical,Manhattan
2020-01-28,Mediterranean,Not Critical,Queens
2020-01-03,American,Critical,Manhattan
2020-01-02,American,Not Critical,Bronx
2020-01-02,American,Not Critical,Bronx
2020-01-22,American,Not Critical,Staten Island
2020-01-14,Latin/Caribbean,Not Critical,Queens
2020-01-08,Asian,Critical,Brooklyn
2020-01-08,Southeast Asian,Not Critical,Manhattan
2020-01-28,American,Critical,Manhattan
2020-01-16,Specialty,Critical,Manhattan
2020-01-03,Asian,Not Critical,Brooklyn
2020-01-17,Soups & Sandwiches,Critical,Manhattan
2020-01-06,International,Critical,Bronx
2020-01-23,Asian,Not Critical,Brooklyn
2020-01-16,Vegan,Not Critical,Brooklyn
2020-01-02,American,Not Critical,Manhattan
2020-01-14,Latin/Caribbean,Critical,Brooklyn
2020-01-29,Latin American,Critical,Brooklyn
2020-01-16,Latin/Caribbean,Critical,Brooklyn
2020-01-30,Mediterranean,Critical,Queens
2020-01-10,American,Critical,Brooklyn
2020-01-29,Specialty,Not Critical,Brooklyn
2020-01-17,Latin American,Not Critical,Brooklyn
2020-01-28,Asian,Critical,Manhattan
2020-01-15,Pizza,Critical,Queens
2020-01-04,Pizza,Critical,Brooklyn
2020-01-31,Coffee/Tea,Not Critical,Manhattan
2020-01-23,Coffee/Tea,Not Critical,Bronx
2020-01-15,Mexican,Not Critical,Brooklyn
2020-01-28,Mediterranean,Critical,Manhattan
2020-01-28,Asian,Critical,Queens
2020-01-09,American,Not Critical,Brooklyn
2020-01-29,American,Not Critical,Brooklyn
2020-01-28,Asian,Critical,Manhattan
2020-01-17,Latin/Caribbean,Not Critical,Brooklyn
2020-01-21,Asian,Not Critical,Brooklyn
2020-01-14,Asian,Not Critical,Queens
2020-01-13,Pizza,Not Critical,Staten Island
2020-01-28,Bakery Products/Desserts,Critical,Queens
2020-01-10,Coffee/Tea,Critical,Brooklyn
2020-01-23,International,Not Critical,Manhattan
2020-01-14,Coffee/Tea,Not Critical,Brooklyn
2020-01-14,Coffee/Tea,Not Critical,Brooklyn
2020-01-25,Latin American,Not Critical,Bronx
2020-01-10,Mediterranean,Not Critical,Manhattan
2020-01-06,Latin/Caribbean,Not Critical,Brooklyn
2020-01-27,Coffee/Tea,Critical,Brooklyn
2020-01-27,Bakery Products/Desserts,Not Critical,Brooklyn
2020-01-27,Bakery Products/Desserts,Not Critical,Brooklyn
2020-01-22,Asian,Critical,Manhattan
2020-01-22,Asian,Critical,Manhattan
2020-01-27,Asian,Critical,Bronx
2020-01-16,Italian,Not Critical,Manhattan
2020-01-23,Asian,Not Critical,Brooklyn
2020-01-28,Mediterranean,Critical,Queens
2020-01-24,American,Not Critical,Queens
2020-01-07,Bottled Beverages,Critical,Brooklyn
2020-01-06,American,Critical,Manhattan
2020-01-15,Coffee/Tea,Critical,Queens
2020-01-09,Asian,Critical,Manhattan
2020-01-03,Pizza,Not Critical,Manhattan
2020-01-16,Asian,Critical,Brooklyn
2020-01-16,Latin American,Critical,Queens
2020-01-06,Latin American,Critical,Bronx
2020-01-23,Bakery Products/Desserts,Not Critical,Brooklyn
2020-01-08,Specialty,Not Critical,Manhattan
2020-01-24,Not Listed/Not Applicable,Not Critical,Queens
2020-01-04,American,Not Critical,Brooklyn
2020-01-03,Specialty,Not Critical,Queens
2020-01-28,Pizza,Critical,Manhattan
2020-01-23,International,Not Critical,Brooklyn
2020-01-28,Specialty,Critical,Manhattan
2020-01-03,Latin American,Critical,Brooklyn
2020-01-29,Asian/Asian Fusion,Critical,Manhattan
2020-01-21,American,Not Critical,Manhattan
2020-01-23,Asian,Not Critical,Manhattan
2020-01-23,Asian,Not Critical,Manhattan
2020-01-02,Asian,Critical,Queens
2020-01-22,Latin/Caribbean,Not Critical,Queens
2020-01-27,Latin/Caribbean,Not Critical,Bronx
2020-01-24,American,Critical,Manhattan
2020-01-08,Pizza,Critical,Manhattan
2020-01-03,Italian,Critical,Queens
2020-01-06,American,Not Critical,Brooklyn
2020-01-22,Italian,Not Critical,Brooklyn
2020-01-08,Mediterranean,Not Critical,Bronx
2020-01-22,American,Not Critical,Staten Island
2020-01-27,Mediterranean,Not Critical,Queens
2020-01-27,Mediterranean,Not Critical,Queens
2020-01-22,Mexican,Critical,Staten Island
2020-01-23,American,Critical,Manhattan
2020-01-14,American,Critical,Staten Island
2020-01-04,American,Not Critical,Brooklyn
2020-01-13,Pizza,Not Critical,Brooklyn
2020-01-14,Italian,Not Critical,Manhattan
2020-01-31,Asian,Critical,Manhattan
2020-01-13,Latin American,Critical,Brooklyn
2020-01-03,American,Not Critical,Manhattan
2020-01-06,Asian,Not Critical,Manhattan
2020-01-28,American,Critical,Queens
2020-01-17,Latin American,Critical,Bronx
2020-01-08,Asian,Not Critical,Brooklyn
2020-01-07,American,Not Critical,Manhattan
2020-01-22,Asian/Asian Fusion,Not Critical,Brooklyn
2020-01-14,American,Not Critical,Brooklyn
2020-01-14,American,Not Critical,Brooklyn
2020-01-30,Latin/Caribbean,Not Critical,Queens
2020-01-22,Mediterranean,Critical,Manhattan
2020-01-27,Asian,Critical,Manhattan
2020-01-29,Specialty,Not Critical,Manhattan
2020-01-16,Asian,Not Critical,Queens
2020-01-27,Soups & Sandwiches,Not Critical,Brooklyn
2020-01-10,American,Critical,Manhattan
2020-01-30,Mediterranean,Critical,Queens
2020-01-23,Latin American,Not Critical,Bronx
2020-01-08,Coffee/Tea,Critical,Manhattan
2020-01-15,American,Not Critical,Manhattan
2020-01-21,Asian,Critical,Brooklyn
2020-01-08,Mediterranean,Critical,Brooklyn
2020-01-08,Mediterranean,Critical,Brooklyn
2020-01-10,Vegan,Critical,Manhattan
2020-01-24,International,Critical,Manhattan
2020-01-02,Asian,Critical,Queens
2020-01-15,Latin/Caribbean,Critical,Brooklyn
2020-01-30,Mexican,Not Critical,Manhattan
2020-01-23,Mediterranean,Critical,Queens
2020-01-23,American,Critical,Manhattan
2020-01-08,American,Critical,Manhattan
2020-01-30,Latin American,Not Critical,Brooklyn
2020-01-23,Bakery,Not Critical,Staten Island
2020-01-06,Asian,Critical,Manhattan
2020-01-07,Mediterranean,Critical,Manhattan
2020-01-13,Asian/Asian Fusion,Critical,Brooklyn
2020-01-08,Coffee/Tea,Critical,Brooklyn
2020-01-17,Mediterranean,Critical,Manhattan
2020-01-24,American,Not Critical,Manhattan
2020-01-15,Asian,Not Critical,Brooklyn
2020-01-30,Asian,Critical,Manhattan
2020-01-16,Asian,Critical,Brooklyn
2020-01-16,Coffee/Tea,Critical,Brooklyn
2020-01-24,Asian,Critical,Manhattan
2020-01-23,Asian/Asian Fusion,Not Critical,Queens
2020-01-13,Bakery Products/Desserts,Not Critical,Brooklyn
2020-01-27,Mexican,Critical,Brooklyn
2020-01-30,American,Not Critical,Manhattan
2020-01-29,Mediterranean,Critical,Bronx
2020-01-29,American,Critical,Brooklyn
2020-01-23,Mediterranean,Not Critical,Bronx
2020-01-14,Southeast Asian,Critical,Queens
2020-01-16,American,Not Critical,Manhattan
2020-01-13,Coffee/Tea,Critical,Manhattan
2020-01-22,American,Critical,Manhattan
2020-01-27,Latin/Caribbean,Critical,Brooklyn
2020-01-31,Soups & Sandwiches,Not Critical,Manhattan
2020-01-30,International,Critical,Manhattan
2020-01-15,Specialty,Not Critical,Manhattan
2020-01-30,Latin/Caribbean,Not Critical,Brooklyn
2020-01-10,Asian,Critical,Manhattan
2020-01-02,Pizza,Critical,Brooklyn
2020-01-25,Vegan,Not Critical,Brooklyn
2020-01-30,International,Not Critical,Manhattan
2020-01-09,Italian,Critical,Manhattan
2020-01-27,Latin American,Critical,Queens
2020-01-10,Bakery Products/Desserts,Critical,Queens
2020-01-25,Latin American,Not Critical,Bronx
2020-01-31,Bakery Products/Desserts,Not Critical,Manhattan
2020-01-31,Bakery Products/Desserts,Not Critical,Manhattan
2020-01-07,Bakery,Not Critical,Bronx
2020-01-07,Bakery,Not Critical,Bronx
2020-01-21,Soups & Sandwiches,Not Critical,Manhattan
2020-01-23,Asian,Not Critical,Manhattan
2020-01-23,Mediterranean,Critical,Bronx
2020-01-08,Mediterranean,Critical,Queens
2020-01-08,Asian,Critical,Brooklyn
2020-01-27,Asian,Not Critical,Queens
2020-01-03,Asian,Critical,Manhattan
2020-01-02,International,Critical,Manhattan
2020-01-28,African,Critical,Bronx
2020-01-06,Asian,Critical,Bronx
2020-01-10,Specialty,Critical,Bronx
2020-01-07,American,Not Critical,Manhattan
2020-01-02,Asian,Not Critical,Manhattan
2020-01-02,Asian,Not Critical,Manhattan
2020-01-29,Asian,Not Critical,Manhattan
2020-01-30,Italian,Not Critical,Bronx
2020-01-13,Asian,Critical,Manhattan
2020-01-06,American,Not Critical,Queens
2020-01-23,American,Not Critical,Manhattan
2020-01-14,Mediterranean,Critical,Staten Island
2020-01-13,Asian,Critical,Brooklyn
2020-01-29,American,Not Critical,Manhattan
2020-01-31,Mediterranean,Critical,Brooklyn
2020-01-06,Mediterranean,Critical,Manhattan
2020-01-29,American,Critical,Brooklyn
2020-01-14,Pizza,Critical,Brooklyn
2020-01-21,Asian,Critical,Manhattan
2020-01-08,Asian,Critical,Brooklyn
2020-01-16,American,Not Critical,Manhattan
2020-01-29,American,Not Critical,Queens
2020-01-08,Bakery,Not Critical,Bronx
2020-01-02,Asian,Critical,Brooklyn
2020-01-25,Specialty,Critical,Queens
2020-01-31,American,Critical,Brooklyn
2020-01-16,American,Critical,Brooklyn
2020-01-29,Mediterranean,Not Critical,Brooklyn
2020-01-27,Asian,Critical,Bronx
2020-01-09,Bakery,Critical,Queens
2020-01-31,American,Critical,Manhattan
2020-01-09,Coffee/Tea,Not Critical,Brooklyn
2020-01-21,American,Not Critical,Brooklyn
2020-01-09,Mediterranean,Not Critical,Bronx
2020-01-16,Bakery,Not Critical,Manhattan
2020-01-15,American,Critical,Manhattan
2020-01-08,American,Not Critical,Manhattan
2020-01-07,Asian,Not Critical,Manhattan
2020-01-07,Asian,Not Critical,Manhattan
2020-01-30,Specialty,Critical,Brooklyn
2020-01-16,Specialty,Not Critical,Bronx
2020-01-09,American,Not Critical,Manhattan
2020-01-24,American,Critical,Manhattan
2020-01-28,Mediterranean,Not Critical,Bronx
2020-01-23,Asian/Asian Fusion,Critical,Queens
2020-01-29,American,Critical,Queens
2020-01-22,American,Critical,Manhattan
2020-01-23,Specialty,Critical,Queens
2020-01-21,Pizza,Critical,Manhattan
2020-01-28,Bakery Products/Desserts,Not Critical,Queens
2020-01-28,American,Not Critical,Brooklyn
2020-01-27,International,Not Critical,Manhattan
2020-01-30,Specialty,Critical,Brooklyn
2020-01-22,Pizza,Critical,Manhattan
2020-01-15,Pizza,Not Critical,Brooklyn
2020-01-13,Bakery Products/Desserts,Not Critical,Bronx
2020-01-14,Coffee/Tea,Not Critical,Queens
2020-01-27,Asian,Critical,Brooklyn
2020-01-07,Latin American,Not Critical,Manhattan
2020-01-08,Asian,Critical,Manhattan
2020-01-31,Latin/Caribbean,Critical,Brooklyn
2020-01-07,Specialty,Not Critical,Manhattan
2020-01-07,Latin American,Not Critical,Bronx
2020-01-09,American,Critical,Queens
2020-01-08,Asian,Not Critical,Brooklyn
2020-01-16,Bakery,Not Critical,Manhattan
2020-01-16,Bakery,Not Critical,Manhattan
2020-01-10,American,Not Critical,Queens
2020-01-15,Asian,Not Critical,Queens
2020-01-15,Other,Not Critical,Brooklyn
2020-01-30,Pizza,Not Critical,Bronx
2020-01-07,Mexican,Not Critical,Manhattan
2020-01-28,Mediterranean,Critical,Brooklyn
2020-01-28,Mediterranean,Critical,Brooklyn
2020-01-02,Asian,Not Critical,Queens
2020-01-22,Coffee/Tea,Not Critical,Manhattan
2020-01-03,American,Critical,Bronx
2020-01-21,Coffee/Tea,Not Critical,Manhattan
2020-01-30,Soups & Sandwiches,Not Critical,Queens
2020-01-06,American,Critical,Brooklyn
2020-01-09,Specialty,Not Critical,Queens
2020-01-14,Asian,Critical,Queens
2020-01-22,American,Not Critical,Manhattan
2020-01-16,Specialty,Not Critical,Brooklyn
2020-01-06,Italian,Critical,Brooklyn
2020-01-17,Italian,Critical,Queens
2020-01-13,Mediterranean,Critical,Manhattan
2020-01-28,Specialty,Not Critical,Bronx
2020-01-06,Latin American,Not Critical,Queens
2020-01-30,Italian,Not Critical,Queens
2020-01-24,Coffee/Tea,Critical,Manhattan
2020-01-30,Pizza,Critical,Manhattan
2020-01-03,American,Critical,Manhattan
2020-01-09,American,Critical,Manhattan
2020-01-18,Mexican,Not Critical,Brooklyn
2020-01-08,Mediterranean,Not Critical,Queens
2020-01-22,Specialty,Not Critical,Manhattan
2020-01-22,Specialty,Not Critical,Manhattan
2020-01-30,Asian,Critical,Brooklyn
2020-01-08,International,Critical,Brooklyn
2020-01-30,Specialty,Not Critical,Bronx
2020-01-07,American,Critical,Manhattan
2020-01-30,American,Critical,Queens
2020-01-17,American,Not Critical,Manhattan
2020-01-29,Southeast Asian,Not Critical,Manhattan
2020-01-24,Soups & Sandwiches,Critical,Manhattan
2020-01-07,Bakery Products/Desserts,Not Critical,Manhattan
2020-01-07,Bakery Products/Desserts,Not Critical,Manhattan
2020-01-15,Asian,Critical,Queens
2020-01-08,Specialty,Not Critical,Bronx
2020-01-29,Pizza,Critical,Queens
2020-01-31,Italian,Critical,Manhattan
2020-01-30,Coffee/Tea,Critical,Manhattan
2020-01-30,Coffee/Tea,Critical,Brooklyn
2020-01-10,Specialty,Critical,Brooklyn
2020-01-24,American,Not Critical,Brooklyn
2020-01-14,American,Not Critical,Manhattan
2020-01-28,Mediterranean,Critical,Queens
2020-01-07,Specialty,Critical,Manhattan
2020-01-27,Asian,Critical,Queens
2020-01-29,American,Critical,Manhattan
2020-01-23,Asian,Critical,Brooklyn
2020-01-21,Asian/Asian Fusion,Not Critical,Manhattan
2020-01-24,Mexican,Not Critical,Manhattan
2020-01-25,American,Not Critical,Queens
2020-01-27,Frozen Desserts,Critical,Brooklyn
2020-01-06,Asian,Critical,Manhattan
2020-01-23,Pizza,Not Critical,Bronx
2020-01-23,Pizza,Not Critical,Bronx
2020-01-22,Coffee/Tea,Critical,Manhattan
2020-01-14,Italian,Critical,Manhattan
2020-01-06,Pizza,Not Critical,Brooklyn
2020-01-23,Italian,Critical,Manhattan
2020-01-09,Coffee/Tea,Critical,Brooklyn
2020-01-06,Asian,Critical,Manhattan
2020-01-10,Asian,Not Critical,Queens
2020-01-15,Bakery Products/Desserts,Not Critical,Manhattan
2020-01-16,American,Critical,Brooklyn
2020-01-02,Mediterranean,Not Critical,Queens
2020-01-21,Asian,Not Critical,Manhattan
2020-01-06,Specialty,Not Critical,Brooklyn
2020-01-13,Asian,Critical,Queens
2020-01-28,Pizza,Critical,Manhattan
2020-01-27,Soups & Sandwiches,Not Critical,Queens
2020-01-24,Bakery Products/Desserts,Critical,Manhattan
2020-01-31,American,Critical,Manhattan
2020-01-24,International,Critical,Manhattan
2020-01-09,Italian,Not Critical,Manhattan
2020-01-23,Mexican,Not Critical,Manhattan
2020-01-15,Asian,Critical,Queens
2020-01-09,American,Not Critical,Brooklyn
2020-01-06,Italian,Critical,Manhattan
2020-01-02,Mediterranean,Critical,Queens
2020-01-15,Coffee/Tea,Not Critical,Queens
2020-01-30,American,Not Critical,Manhattan
2020-01-30,American,Not Critical,Manhattan
2020-01-10,American,Critical,Manhattan
2020-01-13,American,Critical,Brooklyn
2020-01-22,Asian,Critical,Queens
2020-01-07,Latin American,Critical,Manhattan
2020-01-09,Latin American,Critical,Bronx
2020-01-27,Asian/Asian Fusion,Not Critical,Manhattan
2020-01-24,Bakery,Critical,Manhattan
2020-01-28,Deli/Buffett,Not Critical,Manhattan
2020-01-28,Deli/Buffett,Not Critical,Manhattan
2020-01-08,Other,Critical,Staten Island
2020-01-18,Asian,Critical,Queens
2020-01-28,Mediterranean,Critical,Manhattan
2020-01-22,Specialty,Not Critical,Brooklyn
2020-01-21,International,Critical,Manhattan
2020-01-06,Pizza,Critical,Manhattan
2020-01-08,American,Not Critical,Brooklyn
2020-01-03,Italian,Critical,Queens
2020-01-30,Coffee/Tea,Critical,Manhattan
2020-01-28,Mediterranean,Critical,Manhattan
2020-01-15,Asian,Critical,Manhattan
2020-01-15,Other,Not Critical,Manhattan
2020-01-28,Pizza,Critical,Queens
2020-01-27,American,Not Critical,Manhattan
2020-01-10,Mediterranean,Critical,Queens
2020-01-30,Asian,Critical,Manhattan
2020-01-30,Specialty,Not Critical,Manhattan
2020-01-16,Soups & Sandwiches,Critical,Brooklyn
2020-01-29,American,Critical,Queens
2020-01-07,Latin/Caribbean,Critical,Queens
2020-01-10,Soups & Sandwiches,Critical,Queens
2020-01-27,Latin American,Not Critical,Bronx
2020-01-03,Asian,Not Critical,Queens
2020-01-22,American,Not Critical,Manhattan
2020-01-02,American,Not Critical,Bronx
2020-01-23,Mediterranean,Critical,Bronx
2020-01-07,Specialty,Critical,Manhattan
2020-01-13,Asian,Not Critical,Brooklyn
2020-01-07,Asian,Not Critical,Manhattan
2020-01-09,Asian/Asian Fusion,Critical,Manhattan
2020-01-27,Asian,Not Critical,Bronx
2020-01-28,Coffee/Tea,Not Critical,Brooklyn
2020-01-31,Soups/Salads/Sandwiches,Not Critical,Manhattan
2020-01-02,American,Not Critical,Staten Island
2020-01-30,American,Not Critical,Manhattan
2020-01-08,Latin American,Not Critical,Queens
2020-01-03,Bakery Products/Desserts,Critical,Brooklyn
2020-01-16,Pizza,Not Critical,Brooklyn
2020-01-23,Mexican,Not Critical,Brooklyn
2020-01-06,Italian,Not Critical,Manhattan
2020-01-16,Pizza,Critical,Manhattan
2020-01-30,Coffee/Tea,Not Critical,Brooklyn
2020-01-30,Coffee/Tea,Not Critical,Brooklyn
2020-01-29,Asian,Critical,Manhattan
2020-01-14,Asian,Not Critical,Manhattan
2020-01-29,Pizza,Critical,Manhattan
2020-01-09,American,Not Critical,Bronx
2020-01-30,International,Critical,Queens
2020-01-21,Coffee/Tea,Not Critical,Brooklyn
2020-01-31,American,Critical,Manhattan
2020-01-30,Mediterranean,Not Critical,Brooklyn
2020-01-30,Italian,Not Critical,Manhattan
2020-01-07,Bakery Products/Desserts,Critical,Manhattan
2020-01-07,Asian,Not Critical,Brooklyn
2020-01-14,Asian,Critical,Queens
2020-01-02,American,Not Critical,Brooklyn
2020-01-31,Asian,Critical,Manhattan
2020-01-07,Latin American,Critical,Manhattan
2020-01-15,Coffee/Tea,Critical,Manhattan
2020-01-02,American,Not Critical,Manhattan
2020-01-31,Mexican,Critical,Brooklyn
2020-01-18,Deli/Buffett,Critical,Brooklyn
2020-01-16,Pizza,Critical,Brooklyn
2020-01-28,Italian,Critical,Manhattan
2020-01-16,American,Critical,Brooklyn
2020-01-04,Soups & Sandwiches,Not Critical,Brooklyn
2020-01-06,Italian,Not Critical,Brooklyn
2020-01-24,Mediterranean,Critical,Manhattan
2020-01-03,American,Critical,Manhattan
2020-01-14,International,Critical,Manhattan
2020-01-06,Asian,Critical,Queens
2020-01-07,Bakery Products/Desserts,Critical,Manhattan
2020-01-10,Mediterranean,Not Critical,Queens
2020-01-30,Latin/Caribbean,Not Critical,Brooklyn
2020-01-29,Specialty,Not Critical,Manhattan
2020-01-30,Pizza,Not Critical,Manhattan
2020-01-21,American,Critical,Bronx
2020-01-16,Mexican,Not Critical,Brooklyn
2020-01-30,Asian,Not Critical,Queens
2020-01-14,Asian,Not Critical,Queens
2020-01-28,Deli/Buffett,Not Critical,Manhattan
2020-01-27,Asian,Critical,Queens
2020-01-06,Latin American,Not Critical,Queens
2020-01-30,American,Not Critical,Manhattan
2020-01-17,Latin/Caribbean,Critical,Queens
2020-01-22,Soups & Sandwiches,Not Critical,Manhattan
2020-01-30,Asian,Critical,Queens
2020-01-08,Bakery Products/Desserts,Not Critical,Bronx
2020-01-28,Coffee/Tea,Not Critical,Manhattan
2020-01-13,American,Critical,Bronx
2020-01-22,Other,Not Critical,Brooklyn
2020-01-22,Other,Not Critical,Brooklyn
2020-01-13,Asian,Not Critical,Staten Island
2020-01-13,American,Critical,Manhattan
2020-01-02,Bakery Products/Desserts,Critical,Queens
2020-01-22,Coffee/Tea,Not Critical,Brooklyn
2020-01-22,American,Not Critical,Brooklyn
2020-01-16,Specialty,Not Critical,Bronx
2020-01-16,Latin/Caribbean,Not Critical,Manhattan
2020-01-27,Mediterranean,Not Critical,Queens
2020-01-28,Mediterranean,Not Critical,Brooklyn
2020-01-13,Bakery,Not Critical,Queens
2020-01-25,Bottled Beverages,Not Critical,Queens
2020-01-10,Italian,Critical,Queens
2020-01-29,Specialty,Not Critical,Manhattan
2020-01-08,Pizza,Not Critical,Manhattan
2020-01-08,Pizza,Not Critical,Manhattan
2020-01-06,Asian,Not Critical,Brooklyn
2020-01-06,Asian,Not Critical,Brooklyn
2020-01-06,Asian,Not Critical,Brooklyn
2020-01-29,Mediterranean,Critical,Bronx
2020-01-30,Specialty,Not Critical,Bronx
2020-01-24,American,Not Critical,Manhattan
2020-01-24,American,Not Critical,Manhattan
2020-01-22,Latin American,Not Critical,Queens
2020-01-30,Specialty,Not Critical,Manhattan
2020-01-31,Soups/Salads/Sandwiches,Not Critical,Manhattan
2020-01-28,Mediterranean,Critical,Manhattan
2020-01-29,Bakery,Critical,Manhattan
2020-01-13,American,Not Critical,Staten Island
2020-01-13,American,Not Critical,Staten Island
2020-01-14,Specialty,Not Critical,Queens
2020-01-13,Specialty,Critical,Staten Island
2020-01-14,Latin/Caribbean,Not Critical,Manhattan
2020-01-08,Pizza,Critical,Bronx
2020-01-24,Specialty,Not Critical,Manhattan
2020-01-02,Asian,Not Critical,Brooklyn
2020-01-06,Specialty,Not Critical,Queens
2020-01-30,Asian,Critical,Queens
2020-01-15,Latin/Caribbean,Not Critical,Queens
2020-01-07,Italian,Not Critical,Manhattan
2020-01-27,Asian,Critical,Manhattan
2020-01-10,Italian,Not Critical,Manhattan
2020-01-15,Asian,Not Critical,Manhattan
2020-01-24,Italian,Not Critical,Manhattan
2020-01-29,American,Not Critical,Brooklyn
2020-01-29,American,Not Critical,Brooklyn
2020-01-15,Italian,Critical,Manhattan
2020-01-27,Asian/Asian Fusion,Not Critical,Manhattan
2020-01-27,Asian/Asian Fusion,Not Critical,Manhattan
2020-01-09,Bakery,Critical,Brooklyn
2020-01-22,American,Critical,Manhattan
2020-01-17,Latin American,Critical,Queens
2020-01-29,Coffee/Tea,Critical,Manhattan
2020-01-10,American,Critical,Brooklyn
2020-01-29,American,Critical,Queens
2020-01-08,Frozen Desserts,Critical,Queens
2020-01-21,Mediterranean,Critical,Queens
2020-01-22,International,Critical,Brooklyn
2020-01-10,Bakery Products/Desserts,Not Critical,Manhattan
2020-01-09,Pizza,Critical,Brooklyn
2020-01-24,Asian/Asian Fusion,Critical,Manhattan
2020-01-14,American,Not Critical,Manhattan
2020-01-23,International,Not Critical,Queens
2020-01-27,Coffee/Tea,Critical,Queens
2020-01-22,Asian,Not Critical,Brooklyn
2020-01-22,Asian,Not Critical,Brooklyn
2020-01-29,Bakery Products/Desserts,Not Critical,Queens
2020-01-29,Bakery Products/Desserts,Not Critical,Queens
2020-01-29,Bakery Products/Desserts,Not Critical,Queens
2020-01-27,Latin/Caribbean,Critical,Brooklyn
2020-01-13,Bakery,Not Critical,Queens
2020-01-13,Bakery,Not Critical,Queens
2020-01-09,Soups & Sandwiches,Not Critical,Queens
2020-01-29,Mediterranean,Critical,Bronx
2020-01-22,Coffee/Tea,Critical,Manhattan
2020-01-14,Soups & Sandwiches,Not Critical,Queens
2020-01-14,Soups & Sandwiches,Not Critical,Queens
2020-01-31,Coffee/Tea,Critical,Manhattan
2020-01-23,Coffee/Tea,Not Critical,Brooklyn
2020-01-13,Pizza,Critical,Brooklyn
2020-01-27,Mexican,Not Critical,Brooklyn
2020-01-29,Specialty,Not Critical,Manhattan
2020-01-29,Specialty,Not Critical,Manhattan
2020-01-03,Bakery Products/Desserts,Critical,Manhattan
2020-01-09,American,Critical,Bronx
2020-01-09,Latin/Caribbean,Not Critical,Queens
2020-01-08,Southeast Asian,Critical,Manhattan
2020-01-23,Bakery Products/Desserts,Critical,Queens
2020-01-23,Bakery Products/Desserts,Critical,Queens
2020-01-30,Italian,Not Critical,Manhattan
2020-01-23,Specialty,Critical,Brooklyn
2020-01-13,Mediterranean,Not Critical,Queens
2020-01-14,Asian,Critical,Manhattan
2020-01-27,Bakery Products/Desserts,Critical,Brooklyn
2020-01-30,Mexican,Critical,Brooklyn
2020-01-13,American,Critical,Manhattan
2020-01-27,Latin/Caribbean,Critical,Bronx
2020-01-10,Coffee/Tea,Critical,Manhattan
2020-01-09,American,Not Critical,Bronx
2020-01-03,Specialty,Critical,Manhattan
2020-01-09,Italian,Critical,Manhattan
2020-01-10,Coffee/Tea,Not Critical,Manhattan
2020-01-16,Pizza,Critical,Manhattan
2020-01-28,American,Not Critical,Manhattan
2020-01-13,Pizza,Not Critical,Brooklyn
2020-01-27,Latin American,Not Critical,Bronx
2020-01-23,Mediterranean,Critical,Queens
2020-01-29,Mediterranean,Critical,Brooklyn
2020-01-08,American,Critical,Brooklyn
2020-01-30,Mediterranean,Not Critical,Manhattan
2020-01-16,American,Not Critical,Brooklyn
2020-01-02,Mediterranean,Not Critical,Brooklyn
2020-01-22,Asian,Critical,Queens
2020-01-09,Specialty,Not Critical,Manhattan
2020-01-27,Asian,Not Critical,Queens
